,Layer
ZT12B1231,4
ZT12B1232,1
ZT12B1233,3
ZT12B1234,7
ZT12B1235,6
ZT12B1236,8
ZT12B1237,8
ZT12B1238,6
ZT12B1239,4
ZT12B1240,7
ZT12B1241,7
ZT12B1242,4
ZT12B1243,8
ZT12B1244,1
ZT12B1245,8
ZT12B1246,4
ZT12B1247,8
ZT12B1248,7
ZT12B1249,8
ZT12B1250,8
ZT12B1251,3
ZT12B1252,3
ZT12B1253,2
ZT12B1254,7
ZT12B1255,7
ZT12B1256,3
ZT12B1257,6
ZT12B1258,8
ZT12B1259,8
ZT12B1260,3
ZT12B1261,7
ZT12B1262,3
ZT12B1263,7
ZT12B1264,2
ZT12B1265,5
ZT12B1266,3
ZT12B1267,5
ZT12B1268,4
ZT12B1269,8
ZT12B1270,8
ZT12B1271,1
ZT12B1272,7
ZT12B1273,8
ZT12B1274,7
ZT12B1275,6
ZT12B1276,1
ZT12B1277,3
ZT12B1278,3
ZT12B1279,6
ZT12B1280,7
ZT12B1281,8
ZT12B1282,8
ZT12B1283,7
ZT12B1284,7
ZT12B1285,6
ZT12B1286,7
ZT12B1287,7
ZT12B1288,8
ZT12B1289,3
ZT12B1290,8
ZT12B1291,6
ZT12B1292,8
ZT12B1293,7
ZT12B1294,6
ZT12B1295,8
ZT12B1296,7
ZT12B1297,3
ZT12B1298,3
ZT12B1299,6
ZT12B1300,8
ZT12B1301,5
ZT12B1302,2
ZT12B1303,6
ZT12B1304,3
ZT12B1305,6
ZT12B1306,8
ZT12B1307,6
ZT12B1308,7
ZT12B1309,3
ZT12B1310,7
ZT12B1311,3
ZT12B1312,6
ZT12B1313,7
ZT12B1314,8
ZT12B1315,7
ZT12B1316,8
ZT12B1317,7
ZT12B1318,1
ZT12B1319,3
ZT12B1320,6
ZT12B1321,8
ZT12B1322,7
ZT12B1323,8
ZT12B1324,8
ZT12B1325,8
ZT12B1326,1
ZT12B1327,8
ZT12B1328,4
ZT12B1329,8
ZT12B1330,7
ZT12B1331,8
ZT12B1332,5
ZT12B1333,3
ZT12B1334,7
ZT12B1335,6
ZT12B1336,6
ZT12B1337,3
ZT12B1338,8
ZT12B1339,4
ZT12B1340,7
ZT12B1341,1
ZT12B1342,8
ZT12B1343,7
ZT12B1344,3
ZT12B1345,8
ZT12B1346,1
ZT12B1347,3
ZT12B1348,3
ZT12B1349,1
ZT12B1350,7
ZT12B1351,8
ZT12B1352,3
ZT12B1353,8
ZT12B1354,4
ZT12B1355,7
ZT12B1356,1
ZT12B1357,6
ZT12B1358,7
ZT12B1359,2
ZT12B1360,4
ZT12B1361,3
ZT12B1362,8
ZT12B1363,8
ZT12B1364,6
ZT12B1365,8
ZT12B1366,6
ZT12B1367,6
ZT12B1368,2
ZT12B1369,8
ZT12B1370,3
ZT12B1371,7
ZT12B1372,8
ZT12B1373,8
ZT12B1374,7
ZT12B1375,8
ZT12B1376,7
ZT12B1377,7
ZT12B1378,7
ZT12B1379,1
ZT12B1380,7
ZT12B1381,8
ZT12B1382,3
ZT12B1383,6
ZT12B1384,3
ZT12B1385,2
ZT12B1386,6
ZT12B1387,6
ZT12B1388,7
ZT12B1389,1
ZT12B1390,4
ZT12B1391,6
ZT12B1392,8
ZT12B1393,7
ZT12B1394,3
ZT12B1395,7
ZT12B1396,3
ZT12B1397,4
ZT12B1398,6
ZT12B1399,3
ZT12B1400,8
ZT12B1401,8
ZT12B1402,2
ZT12B1403,8
ZT12B1404,7
ZT12B1405,8
ZT12B1406,5
ZT12B1407,8
ZT12B1408,6
ZT12B1409,7
ZT12B1410,8
ZT12B1411,7
ZT12B1412,8
ZT12B1413,4
ZT12B1414,1
ZT12B1415,6
ZT12B1416,7
ZT12B1417,8
ZT12B1418,4
ZT12B1419,1
ZT12B1420,1
ZT12B1421,4
ZT12B1422,7
ZT12B1423,4
ZT12B1424,8
ZT12B1425,8
ZT12B1426,8
ZT12B1427,2
ZT12B1428,8
ZT12B1429,7
ZT12B1430,8
ZT12B1431,8
ZT12B1432,4
ZT12B1433,7
ZT12B1434,8
ZT12B1435,7
ZT12B1436,8
ZT12B1437,1
ZT12B1438,6
ZT12B1439,3
ZT12B1440,7
ZT12B1441,6
ZT12B1442,6
ZT12B1443,7
ZT12B1444,4
ZT12B1445,1
ZT12B1446,8
ZT12B1447,8
ZT12B1448,8
ZT12B1449,8
ZT12B1450,4
ZT12B1451,8
ZT12B1452,3
ZT12B1453,8
ZT12B1454,3
ZT12B1455,3
ZT12B1456,8
ZT12B1457,4
ZT12B1458,8
ZT12B1459,4
ZT12B1460,8
ZT12B1461,3
ZT12B1462,8
ZT12B1463,2
ZT12B1464,6
ZT12B1465,3
ZT12B1466,6
ZT12B1467,6
ZT12B1468,1
ZT12B1469,3
ZT12B1470,6
ZT12B1471,2
ZT12B1472,3
ZT12B1473,2
ZT12B1474,3
ZT12B1475,3
ZT12B1476,6
ZT12B1477,3
ZT12B1478,4
ZT12B1479,4
ZT12B1480,4
ZT12B1481,3
ZT12B1482,7
ZT12B1483,3
ZT12B1484,4
ZT12B1485,6
ZT12B1486,8
ZT12B1487,7
ZT12B1488,6
ZT12B1489,6
ZT12B1490,7
ZT12B1491,8
ZT12B1492,1
ZT12B1493,3
ZT12B1494,1
ZT12B1495,8
ZT12B1496,1
